,Firm,Sender Email,Day,Date,Month,Year,Time_24hr_offset,Parts_of_the_day,noreply,Month_year
530,LinkedIn,messages-noreply@linkedin.com,Mon,17,Apr,2023,03:01:31,Night,1,Apr 2023
531,Goibibo ,noreply@content.goibibo.com,Mon,17,Apr,2023,13:58:34,Afternoon,1,Apr 2023
532,Introduction to Data Analytics ,no-reply@t.mail.coursera.org,Mon,17,Apr,2023,02:53:12,Night,0,Apr 2023
533,EaseMyTrip ,info@easemytrip.com,Mon,17,Apr,2023,13:42:58,Afternoon,0,Apr 2023
534,NPTEL ,onlinecourses@nptel.iitm.ac.in,Mon,17,Apr,2023,13:04:43,Afternoon,0,Apr 2023
535,BAJAAO Connect ,helpdesk@email.bajaao.com,Mon,17,Apr,2023,08:06:49,Morning,0,Apr 2023
536,LinkedIn,invitations@linkedin.com,Mon,17,Apr,2023,07:38:35,Morning,0,Apr 2023
537,MADE EASY ,info@madeeasyprime.com,Mon,17,Apr,2023,07:29:36,Morning,0,Apr 2023
538,trivago ,newsletter@email.trivago.com,Sun,16,Apr,2023,02:41:55,Night,0,Apr 2023
539,Varsha from Prosple ,varsha@prosple.com,Sun,16,Apr,2023,03:36:28,Night,0,Apr 2023
540,Datacamp,team@datacamp.com,Sun,16,Apr,2023,09:33:58,Morning,0,Apr 2023
541,Dr. Abha Vyas ,invitations@linkedin.com,Sun,16,Apr,2023,08:08:40,Morning,0,Apr 2023
542,upGrad ,info@updates.upgrad.com,Sun,16,Apr,2023,04:09:30,Night,0,Apr 2023
543,Myprotein ,info@n.myprotein.com,Sun,16,Apr,2023,02:00:14,Night,0,Apr 2023
544,Goibibo ,noreply@content.goibibo.com,Sun,16,Apr,2023,10:08:30,Morning,1,Apr 2023
545,Amazon,no-reply@business.amazon.in,Sun,16,Apr,2023,07:59:32,Morning,0,Apr 2023
546,"Web3 Jobs from t.me/web3hiring via Nas.io
	",hashtagweb3-community@nas.io,Sun,16,Apr,2023,00:03:53,Night,0,Apr 2023
547,Google,calendar-notification@google.com,Sat,15,Apr,2023,08:30:04,Morning,0,Apr 2023
548,upGrad ,info@updates.upgrad.com,Sat,15,Apr,2023,03:41:01,Night,0,Apr 2023
549,SBI,yonosbi@alerts.sbi.co.in,Sat,15,Apr,2023,14:02:25,Afternoon,0,Apr 2023
550,Team Scaler ,hello@scaler.com,Sat,15,Apr,2023,02:42:27,Night,0,Apr 2023
551,EaseMyTrip ,info@easemytrip.com,Sat,15,Apr,2023,09:47:57,Morning,0,Apr 2023
552,Goibibo ,noreply@content.goibibo.com,Sat,15,Apr,2023,07:31:24,Morning,1,Apr 2023
553,Myprotein ,info@n.myprotein.com,Sat,15,Apr,2023,04:01:09,Night,0,Apr 2023
554,Coursera ,Coursera@email.coursera.org,Fri,14,Apr,2023,19:45:43,Evening,0,Apr 2023
555,Mutturaj Kadapatti ,invitations@linkedin.com,Fri,14,Apr,2023,06:08:40,Morning,0,Apr 2023
556,Coursera ,Coursera@email.coursera.org,Fri,14,Apr,2023,02:16:57,Night,0,Apr 2023
557,upGrad ,info@updates.upgrad.com,Fri,14,Apr,2023,03:45:07,Night,0,Apr 2023
558,upGrad ,info@updates.upgrad.com,Fri,14,Apr,2023,03:08:21,Night,0,Apr 2023
559,Goibibo ,noreply@content.goibibo.com,Fri,14,Apr,2023,13:57:02,Afternoon,1,Apr 2023
560,GeeksforGeeks ,no-reply@geeksforgeeks.org,Fri,14,Apr,2023,00:15:23,Night,0,Apr 2023
561,LinkedIn,jobs-listings@linkedin.com,Fri,14,Apr,2023,09:28:58,Morning,0,Apr 2023
562,Amazon,no-reply@business.amazon.in,Fri,14,Apr,2023,09:21:58,Morning,0,Apr 2023
563,Varsha from Prosple ,varsha@prosple.com,Thu,13,Apr,2023,03:12:46,Night,0,Apr 2023
565,Goibibo ,noreply@content.goibibo.com,Thu,13,Apr,2023,07:01:38,Morning,1,Apr 2023
566,Quora,hindi-personalized-digest@quora.com,Thu,13,Apr,2023,03:44:03,Night,0,Apr 2023
567,upGrad ,info@updates.upgrad.com,Thu,13,Apr,2023,03:29:47,Night,0,Apr 2023
568,Team Scaler ,hello@scaler.com,Thu,13,Apr,2023,02:47:28,Night,0,Apr 2023
569,Decathlon India ,communication@email.decathlon.in,Thu,13,Apr,2023,20:11:49,Evening,0,Apr 2023
570,LinkedIn,jobs-listings@linkedin.com,Thu,13,Apr,2023,08:00:08,Morning,0,Apr 2023
571,Coursera ,Coursera@email.coursera.org,Wed,12,Apr,2023,22:22:32,Night,0,Apr 2023
572,Myprotein ,info@n.myprotein.com,Wed,12,Apr,2023,09:51:24,Morning,0,Apr 2023
573,Myprotein ,info@n.myprotein.com,Wed,12,Apr,2023,09:01:05,Morning,0,Apr 2023
574,IRCTC,ecatering@irctc.co.in,Wed,12,Apr,2023,08:15:27,Morning,0,Apr 2023
575,EaseMyTrip ,info@easemytrip.com,Wed,12,Apr,2023,14:47:27,Afternoon,0,Apr 2023
576,noreply.npcilcareers@nic.in,noreply.npcilcareers@nic.in,Wed,12,Apr,2023,19:07:15,Evening,1,Apr 2023
577,LinkedIn,jobs-listings@linkedin.com,Wed,12,Apr,2023,09:26:34,Morning,0,Apr 2023
578,SBI,cbssbi.cas@alerts.sbi.co.in,Wed,12,Apr,2023,07:12:29,Morning,0,Apr 2023
579,Adobe Acrobat ,mail@mail.adobe.com,Tue,11,Apr,2023,19:18:02,Evening,0,Apr 2023
580,Myprotein ,info@n.myprotein.com,Wed,12,Apr,2023,03:41:01,Night,0,Apr 2023
581,Varsha from Prosple ,varsha@prosple.com,Tue,11,Apr,2023,03:07:35,Night,0,Apr 2023
582,Coursera ,Coursera@email.coursera.org,Tue,11,Apr,2023,19:55:16,Evening,0,Apr 2023
583,IndiGo ,mailers@marketing.goindigo.in,Tue,11,Apr,2023,15:27:38,Afternoon,0,Apr 2023
584,upGrad ,info@updates.upgrad.com,Tue,11,Apr,2023,02:25:05,Night,0,Apr 2023
585,EaseMyTrip ,info@easemytrip.com,Tue,11,Apr,2023,12:46:50,Afternoon,0,Apr 2023
586,HDFC Bank ,information@hdfcbank.net,Tue,11,Apr,2023,12:21:55,Afternoon,0,Apr 2023
587,Amazon,no-reply@business.amazon.in,Tue,11,Apr,2023,00:09:36,Night,0,Apr 2023
588,Amazon,no-reply@business.amazon.in,Tue,11,Apr,2023,00:06:18,Night,0,Apr 2023
589,Myprotein ,info@n.myprotein.com,Tue,11,Apr,2023,09:51:40,Morning,0,Apr 2023
590,,ticketadmin@irctc.co.in,Tue,11,Apr,2023,09:51:32,Morning,0,Apr 2023
591,IRCTC,ticketadmin@irctc.co.in,Tue,11,Apr,2023,09:50:59,Morning,0,Apr 2023
592,Tripadvisor ,savings@mp1.tripadvisor.com,Tue,11,Apr,2023,03:42:47,Night,0,Apr 2023
593,University of Michigan ,no-reply@m.mail.coursera.org,Mon,10,Apr,2023,03:11:36,Night,0,Apr 2023
594,Coursera ,no-reply@m.mail.coursera.org,Mon,10,Apr,2023,09:09:27,Morning,0,Apr 2023
595,BSNL Care -NZ ,BSNL@ndc.bsnl.co.in,Mon,10,Apr,2023,03:33:12,Night,0,Apr 2023
596,Myprotein ,info@n.myprotein.com,Mon,10,Apr,2023,07:41:03,Morning,0,Apr 2023
597,Coursera ,Coursera@email.coursera.org,Mon,10,Apr,2023,01:41:05,Night,0,Apr 2023
598,Introduction to Data Analytics ,no-reply@t.mail.coursera.org,Mon,10,Apr,2023,03:07:37,Night,0,Apr 2023
599,LinkedIn,messages-noreply@linkedin.com,Mon,10,Apr,2023,03:01:26,Night,1,Apr 2023
600,EaseMyTrip ,info@easemytrip.com,Mon,10,Apr,2023,13:57:25,Afternoon,0,Apr 2023
601,upGrad ,info@updates.upgrad.com,Mon,10,Apr,2023,02:08:55,Night,0,Apr 2023
602,LinkedIn,jobs-listings@linkedin.com,Mon,10,Apr,2023,09:37:41,Morning,0,Apr 2023
603,Varsha from Prosple ,varsha@prosple.com,Sun,9,Apr,2023,04:59:26,Night,0,Apr 2023
604,Amazon,no-reply@business.amazon.in,Sun,9,Apr,2023,07:33:58,Morning,0,Apr 2023
605,Goibibo ,noreply@content.goibibo.com,Sun,9,Apr,2023,15:19:45,Afternoon,1,Apr 2023
606,Coursera ,no-reply@t.mail.coursera.org,Sat,8,Apr,2023,06:07:41,Morning,0,Apr 2023
607,Coursera ,no-reply@t.mail.coursera.org,Sat,8,Apr,2023,06:07:41,Morning,0,Apr 2023
608,upGrad ,info@updates.upgrad.com,Sat,8,Apr,2023,03:13:31,Night,0,Apr 2023
609,Team Scaler ,hello@scaler.com,Sat,8,Apr,2023,02:38:46,Night,0,Apr 2023
610,SBI,cbsalerts.sbi@alerts.sbi.co.in,Sat,8,Apr,2023,12:17:36,Afternoon,0,Apr 2023
611,Coursera ,Coursera@email.coursera.org,Fri,7,Apr,2023,18:47:09,Evening,0,Apr 2023
612,LinkedIn,newsletters-noreply@linkedin.com,Fri,7,Apr,2023,05:08:35,Morning,1,Apr 2023
613,Coursera ,Coursera@email.coursera.org,Fri,7,Apr,2023,02:31:43,Night,0,Apr 2023
614,Anoj  ,anoj@milaap.org,Fri,7,Apr,2023,01:32:55,Night,0,Apr 2023
615,Amazon,no-reply@business.amazon.in,Fri,7,Apr,2023,00:21:14,Night,0,Apr 2023
616,EaseMyTrip ,info@easemytrip.com,Fri,7,Apr,2023,10:07:31,Morning,0,Apr 2023
617,LinkedIn,jobs-listings@linkedin.com,Fri,7,Apr,2023,08:03:06,Morning,0,Apr 2023
618,NPTEL ,onlinecourses@nptel.iitm.ac.in,Fri,7,Apr,2023,08:15:55,Morning,0,Apr 2023
619,Goibibo ,noreply@content.goibibo.com,Fri,7,Apr,2023,14:49:49,Afternoon,1,Apr 2023
620,Myprotein ,info@n.myprotein.com,Fri,7,Apr,2023,03:30:55,Night,0,Apr 2023
621,Varsha from Prosple ,varsha@prosple.com,Thu,6,Apr,2023,03:10:14,Night,0,Apr 2023
622,BSNL Care -NZ ,BSNL@ndc.bsnl.co.in,Thu,6,Apr,2023,02:58:48,Night,0,Apr 2023
623,EaseMyTrip ,info@easemytrip.com,Thu,6,Apr,2023,05:41:43,Morning,0,Apr 2023
624,NASA Mars ,no-reply-mars@jpl.nasa.gov,Thu,6,Apr,2023,05:02:24,Morning,0,Apr 2023
625,Bajaao Connect ,helpdesk@email.bajaao.com,Thu,6,Apr,2023,01:59:24,Night,0,Apr 2023
626,GeeksforGeeks ,no-reply@geeksforgeeks.org,Thu,6,Apr,2023,08:12:33,Morning,0,Apr 2023
627,=?UTF-8?B?UGF5dG0gT2ZmZXJz?= ,noreply@paytmoffers.in,Thu,6,Apr,2023,08:18:29,Morning,1,Apr 2023
628,Tripadvisor ,inspiration@mp1.tripadvisor.com,Thu,6,Apr,2023,03:22:07,Night,0,Apr 2023
629,LinkedIn,messages-noreply@linkedin.com,Thu,6,Apr,2023,01:33:21,Night,1,Apr 2023
630,Coursera ,no-reply@m.mail.coursera.org,Wed,5,Apr,2023,07:22:32,Morning,0,Apr 2023
631,EaseMyTrip ,info@easemytrip.com,Wed,5,Apr,2023,07:32:06,Morning,0,Apr 2023
632,Coursera ,Coursera@email.coursera.org,Wed,5,Apr,2023,18:03:33,Evening,0,Apr 2023
633,Team Scaler ,hello@scaler.com,Wed,5,Apr,2023,03:08:43,Night,0,Apr 2023
634,Goibibo ,noreply@content.goibibo.com,Wed,5,Apr,2023,11:32:09,Morning,1,Apr 2023
635,LinkedIn,jobs-listings@linkedin.com,Wed,5,Apr,2023,08:50:50,Morning,0,Apr 2023
636,Amazon,no-reply@business.amazon.in,Wed,5,Apr,2023,08:45:36,Morning,0,Apr 2023
637,NPTEL ,onlinecourses@nptel.iitm.ac.in,Wed,5,Apr,2023,14:58:44,Afternoon,0,Apr 2023
638,Coursera ,Coursera@email.coursera.org,Tue,4,Apr,2023,18:57:35,Evening,0,Apr 2023
639,Varsha from Prosple ,varsha@prosple.com,Tue,4,Apr,2023,03:07:09,Night,0,Apr 2023
640,EaseMyTrip ,info@easemytrip.com,Tue,4,Apr,2023,07:27:49,Morning,0,Apr 2023
641,Coursera ,Coursera@email.coursera.org,Tue,4,Apr,2023,18:03:40,Evening,0,Apr 2023
642,Myprotein ,info@n.myprotein.com,Tue,4,Apr,2023,04:00:34,Night,0,Apr 2023
643,LinkedIn,messages-noreply@linkedin.com,Tue,4,Apr,2023,03:01:30,Night,1,Apr 2023
644,Google,noreply-maps-timeline@google.com,Tue,4,Apr,2023,23:00:22,Night,1,Apr 2023
645,Adobe Acrobat ,mail@mail.adobe.com,Mon,3,Apr,2023,00:20:01,Night,0,Apr 2023
646,Coursera ,no-reply@m.mail.coursera.org,Mon,3,Apr,2023,09:12:29,Morning,0,Apr 2023
647,EaseMyTrip ,info@easemytrip.com,Mon,3,Apr,2023,06:02:36,Morning,0,Apr 2023
648,Coursera ,no-reply@t.mail.coursera.org,Mon,3,Apr,2023,04:19:04,Night,0,Apr 2023
649,Coursera ,no-reply@t.mail.coursera.org,Mon,3,Apr,2023,04:19:04,Night,0,Apr 2023
650,Quora,hindi-personalized-digest@quora.com,Mon,3,Apr,2023,03:45:44,Night,0,Apr 2023
651,Coursera ,Coursera@email.coursera.org,Mon,3,Apr,2023,01:41:29,Night,0,Apr 2023
652,NPTEL ,onlinecourses@nptel.iitm.ac.in,Mon,3,Apr,2023,11:41:55,Morning,0,Apr 2023
653,LinkedIn,jobs-listings@linkedin.com,Mon,3,Apr,2023,09:03:46,Morning,0,Apr 2023
654,Uber ,uber@uber.com,Mon,3,Apr,2023,04:41:22,Night,0,Apr 2023
655,Varsha from Prosple ,varsha@prosple.com,Sun,2,Apr,2023,19:22:52,Evening,0,Apr 2023
656,LinkedIn,messaging-digest-noreply@linkedin.com,Sun,2,Apr,2023,08:30:28,Morning,1,Apr 2023
657,GeeksforGeeks ,no-reply@geeksforgeeks.org,Sun,2,Apr,2023,06:32:23,Morning,0,Apr 2023
658,Google,calendar-notification@google.com,Sun,2,Apr,2023,03:59:47,Night,0,Apr 2023
659,Tripadvisor ,inspiration@mp1.tripadvisor.com,Sun,2,Apr,2023,03:35:33,Night,0,Apr 2023
660,Coursera ,no-reply@m.mail.coursera.org,Sat,1,Apr,2023,07:03:40,Morning,0,Apr 2023
661,EaseMyTrip ,info@easemytrip.com,Sat,1,Apr,2023,14:41:02,Afternoon,0,Apr 2023
662,Team Scaler ,hello@scaler.com,Sat,1,Apr,2023,03:37:59,Night,0,Apr 2023
663,IndiGo ,mailers@marketing.goindigo.in,Sat,1,Apr,2023,12:49:00,Afternoon,0,Apr 2023
664,Splitwise ,hello@splitwise.com,Sat,1,Apr,2023,08:55:53,Morning,0,Apr 2023
665,Goibibo ,noreply@content.goibibo.com,Sat,1,Apr,2023,08:38:28,Morning,1,Apr 2023
666,Phonepe,noreply@phonepe.com,Sat,1,Apr,2023,13:29:42,Afternoon,1,Apr 2023
667,Coursera ,Coursera@email.coursera.org,Fri,31,Mar,2023,18:02:59,Evening,0,Mar 2023
668,HDFC Bank ,information@hdfcbank.net,Fri,31,Mar,2023,14:42:08,Afternoon,0,Mar 2023
669,Amazon,no-reply@business.amazon.in,Fri,31,Mar,2023,01:22:39,Night,0,Mar 2023
670,Uber ,uber@uber.com,Fri,31,Mar,2023,09:56:53,Morning,0,Mar 2023
671,GeeksforGeeks ,no-reply@geeksforgeeks.org,Fri,31,Mar,2023,08:43:39,Morning,0,Mar 2023
672,LinkedIn,jobs-listings@linkedin.com,Fri,31,Mar,2023,08:27:35,Morning,0,Mar 2023
673,Bajaao Connect ,helpdesk@email.bajaao.com,Fri,31,Mar,2023,05:40:27,Morning,0,Mar 2023
674,Adobe Acrobat ,mail@mail.adobe.com,Thu,30,Mar,2023,17:39:57,Evening,0,Mar 2023
675,Varsha from Prosple ,varsha@prosple.com,Thu,30,Mar,2023,02:12:24,Night,0,Mar 2023
676,IBM Skills Network ,no-reply@m.mail.coursera.org,Thu,30,Mar,2023,06:44:06,Morning,0,Mar 2023
677,Gaucho - Buenos Aires ,hello@gauchobuenosaires.com,Thu,30,Mar,2023,05:19:39,Morning,0,Mar 2023
678,upGrad ,info@updates.upgrad.com,Thu,30,Mar,2023,04:17:52,Night,0,Mar 2023
679,upGrad ,info@updates.upgrad.com,Thu,30,Mar,2023,03:15:35,Night,0,Mar 2023
680,upGrad ,info@updates.upgrad.com,Thu,30,Mar,2023,02:32:08,Night,0,Mar 2023
681,Decathlon India ,communication@email.decathlon.in,Thu,30,Mar,2023,00:11:01,Night,0,Mar 2023
682,Amazon,no-reply@business.amazon.in,Thu,30,Mar,2023,09:06:25,Morning,0,Mar 2023
683,EaseMyTrip ,info@easemytrip.com,Thu,30,Mar,2023,09:57:00,Morning,0,Mar 2023
684,LinkedIn,messages-noreply@linkedin.com,Thu,30,Mar,2023,01:33:21,Night,1,Mar 2023
685,Instagram ,no-reply@mail.instagram.com,Wed,29,Mar,2023,21:18:33,Night,0,Mar 2023
686,Quora ,curiosity-noreply@quora.com,Wed,29,Mar,2023,09:25:54,Morning,1,Mar 2023
687,LinkedIn,updates-noreply@linkedin.com,Wed,29,Mar,2023,03:39:37,Night,1,Mar 2023
688,EaseMyTrip ,info@easemytrip.com,Wed,29,Mar,2023,13:51:56,Afternoon,0,Mar 2023
689,GeeksforGeeks ,no-reply@geeksforgeeks.org,Wed,29,Mar,2023,00:33:07,Night,0,Mar 2023
690,SBI,SBIINB@communications.sbi.co.in,Wed,29,Mar,2023,10:43:42,Morning,0,Mar 2023
691,LinkedIn,jobs-listings@linkedin.com,Wed,29,Mar,2023,09:09:33,Morning,0,Mar 2023
692,Amazon,no-reply@business.amazon.in,Wed,29,Mar,2023,08:45:14,Morning,0,Mar 2023
693,Varsha from Prosple ,varsha@prosple.com,Tue,28,Mar,2023,02:06:31,Night,0,Mar 2023
694,upGrad ,info@updates.upgrad.com,Tue,28,Mar,2023,07:16:17,Morning,0,Mar 2023
695,Phonepe,noreply@phonepe.com,Tue,28,Mar,2023,07:05:33,Morning,1,Mar 2023
696,Noise ,mails@shop.gonoise.com,Tue,28,Mar,2023,06:00:45,Morning,0,Mar 2023
697,NPTEL ,onlinecourses@nptel.iitm.ac.in,Tue,28,Mar,2023,06:11:46,Morning,0,Mar 2023
698,EaseMyTrip ,info@easemytrip.com,Tue,28,Mar,2023,06:06:34,Morning,0,Mar 2023
699,HDFC Bank ,information@hdfcbank.net,Tue,28,Mar,2023,14:43:28,Afternoon,0,Mar 2023
700,Team Scaler ,hello@scaler.com,Tue,28,Mar,2023,03:03:39,Night,0,Mar 2023
701,LinkedIn,messages-noreply@linkedin.com,Tue,28,Mar,2023,03:01:25,Night,1,Mar 2023
702,Uber ,uber@uber.com,Tue,28,Mar,2023,09:51:01,Morning,0,Mar 2023
703,Amazon,no-reply@business.amazon.in,Tue,28,Mar,2023,09:31:53,Morning,0,Mar 2023
704,SBI,neftinfo.itps@alerts.sbi.co.in,Tue,28,Mar,2023,05:34:47,Morning,0,Mar 2023
705,Datacamp,team@datacamp.com,Mon,27,Mar,2023,02:41:54,Night,0,Mar 2023
706,Coursera ,no-reply@m.mail.coursera.org,Mon,27,Mar,2023,09:04:58,Morning,0,Mar 2023
707,,ticketadmin@irctc.co.in,Mon,27,Mar,2023,06:02:41,Morning,0,Mar 2023
708,IRCTC,ticketadmin@irctc.co.in,Mon,27,Mar,2023,06:01:35,Morning,0,Mar 2023
709,Coursera ,Coursera@email.coursera.org,Mon,27,Mar,2023,02:02:09,Night,0,Mar 2023
710,LinkedIn,updates-noreply@linkedin.com,Mon,27,Mar,2023,03:40:20,Night,1,Mar 2023
711,upGrad ,info@updates.upgrad.com,Mon,27,Mar,2023,03:26:25,Night,0,Mar 2023
712,NPTEL ,onlinecourses@nptel.iitm.ac.in,Mon,27,Mar,2023,12:07:32,Afternoon,0,Mar 2023
713,EaseMyTrip ,info@easemytrip.com,Mon,27,Mar,2023,12:11:45,Afternoon,0,Mar 2023
714,Amazon,no-reply@business.amazon.in,Mon,27,Mar,2023,09:37:54,Morning,0,Mar 2023
715,GeeksforGeeks ,no-reply@geeksforgeeks.org,Mon,27,Mar,2023,08:42:52,Morning,0,Mar 2023
716,LinkedIn,jobs-listings@linkedin.com,Mon,27,Mar,2023,07:23:10,Morning,0,Mar 2023
717,Uber ,uber@uber.com,Mon,27,Mar,2023,04:39:25,Night,0,Mar 2023
718,Varsha from Prosple ,varsha@prosple.com,Sun,26,Mar,2023,19:39:38,Evening,0,Mar 2023
719,Amazon,no-reply@business.amazon.in,Sun,26,Mar,2023,07:06:47,Morning,0,Mar 2023
720,Datacamp,team@datacamp.com,Sun,26,Mar,2023,02:16:42,Night,0,Mar 2023
721,EaseMyTrip ,info@easemytrip.com,Sun,26,Mar,2023,10:25:34,Morning,0,Mar 2023
722,Tilak C Reddy ,invitations@linkedin.com,Sun,26,Mar,2023,06:08:36,Morning,0,Mar 2023
723,Amazon,no-reply@business.amazon.in,Sat,25,Mar,2023,09:41:49,Morning,0,Mar 2023
724,Team Scaler ,hello@scaler.com,Sat,25,Mar,2023,03:11:25,Night,0,Mar 2023
725,EaseMyTrip ,info@easemytrip.com,Sat,25,Mar,2023,14:02:31,Afternoon,0,Mar 2023
726,response@bluedart.com ,response@bluedart.com,Sat,25,Mar,2023,11:25:39,Morning,0,Mar 2023
727,Uber ,uber@uber.com,Sat,25,Mar,2023,09:57:56,Morning,0,Mar 2023
728,Rapido Bike Taxi ,hello@updates.rapido.bike,Sat,25,Mar,2023,04:01:48,Night,0,Mar 2023
729,upGrad ,info@updates.upgrad.com,Sat,25,Mar,2023,01:46:10,Night,0,Mar 2023
730,Tripadvisor ,awards@mp1.tripadvisor.com,Sat,25,Mar,2023,01:38:34,Night,0,Mar 2023
731,upGrad ,info@updates.upgrad.com,Fri,24,Mar,2023,04:54:51,Night,0,Mar 2023
732,EaseMyTrip ,info@easemytrip.com,Fri,24,Mar,2023,15:05:04,Afternoon,0,Mar 2023
733,LinkedIn,updates-noreply@linkedin.com,Fri,24,Mar,2023,03:39:47,Night,1,Mar 2023
734,upGrad ,info@updates.upgrad.com,Fri,24,Mar,2023,02:17:26,Night,0,Mar 2023
735,HDFC Bank ,information@hdfcbank.net,Fri,24,Mar,2023,13:02:50,Afternoon,0,Mar 2023
736,Amazon,no-reply@business.amazon.in,Fri,24,Mar,2023,00:47:30,Night,0,Mar 2023
737,upGrad ,info@updates.upgrad.com,Fri,24,Mar,2023,00:45:32,Night,0,Mar 2023
738,Uber ,uber@uber.com,Fri,24,Mar,2023,09:46:01,Morning,0,Mar 2023
739,Jayesh Mittal ,jubin@gradjago.com,Fri,24,Mar,2023,07:54:53,Morning,0,Mar 2023
740,LinkedIn,jobs-listings@linkedin.com,Fri,24,Mar,2023,07:26:18,Morning,0,Mar 2023
741,Varsha from Prosple ,varsha@prosple.com,Thu,23,Mar,2023,02:08:54,Night,0,Mar 2023
742,Coursera ,Coursera@email.coursera.org,Thu,23,Mar,2023,22:53:24,Night,0,Mar 2023
743,Myprotein ,info@n.myprotein.com,Thu,23,Mar,2023,05:30:39,Morning,0,Mar 2023
744,upGrad ,info@updates.upgrad.com,Thu,23,Mar,2023,03:57:32,Night,0,Mar 2023
745,Team Scaler ,hello@scaler.com,Thu,23,Mar,2023,02:35:35,Night,0,Mar 2023
746,Amazon,no-reply@business.amazon.in,Thu,23,Mar,2023,00:00:01,Night,0,Mar 2023
747,IRCTC,ecatering@irctc.co.in,Wed,22,Mar,2023,07:08:05,Morning,0,Mar 2023
748,LinkedIn,updates-noreply@linkedin.com,Wed,22,Mar,2023,03:40:20,Night,1,Mar 2023
749,Myprotein ,service@t.myprotein.com,Wed,22,Mar,2023,00:50:19,Night,0,Mar 2023
750,Amazon,no-reply@business.amazon.in,Wed,22,Mar,2023,09:45:41,Morning,0,Mar 2023
751,Uber ,uber@uber.com,Wed,22,Mar,2023,09:44:20,Morning,0,Mar 2023
752,LinkedIn,jobs-listings@linkedin.com,Wed,22,Mar,2023,07:55:57,Morning,0,Mar 2023
753,Ganapati Moger ,invitations@linkedin.com,Wed,22,Mar,2023,07:19:39,Morning,0,Mar 2023
754,=?utf-8?Q?Fastrack=20Eyewear?= ,fteyewear@titan.co.in,Wed,22,Mar,2023,06:03:53,Morning,0,Mar 2023
755,=?utf-8?Q?Fastrack=20Eyewear?= ,fteyewear@titan.co.in,Wed,22,Mar,2023,06:03:51,Morning,0,Mar 2023
756,Payments ,no-reply@razorpay.com,Wed,22,Mar,2023,06:03:42,Morning,0,Mar 2023
757,=?utf-8?Q?Fastrack=20Eyewear?= ,fteyewear@titan.co.in,Wed,22,Mar,2023,05:58:51,Morning,0,Mar 2023
758,Myprotein ,noreply.invitations@trustpilotmail.com,Wed,22,Mar,2023,05:54:53,Morning,1,Mar 2023
759,Myprotein ,service@t.myprotein.com,Wed,22,Mar,2023,05:54:45,Morning,0,Mar 2023
760,payment-report@payu.in ,payment-report@payu.in,Wed,22,Mar,2023,06:54:38,Morning,0,Mar 2023
761,Varsha from Prosple ,varsha@prosple.com,Tue,21,Mar,2023,02:07:45,Night,0,Mar 2023
762,Coursera ,Coursera@email.coursera.org,Tue,21,Mar,2023,19:03:57,Evening,0,Mar 2023
763,LinkedIn,linkedin@e.linkedin.com,Tue,21,Mar,2023,00:27:18,Night,0,Mar 2023
764,,ticketadmin@irctc.co.in,Tue,21,Mar,2023,05:33:29,Morning,0,Mar 2023
765,IRCTC,ticketadmin@irctc.co.in,Tue,21,Mar,2023,05:33:16,Morning,0,Mar 2023
766,upGrad ,info@updates.upgrad.com,Tue,21,Mar,2023,04:32:25,Night,0,Mar 2023
767,upGrad ,info@updates.upgrad.com,Tue,21,Mar,2023,04:23:45,Night,0,Mar 2023
768,HDFC Bank ,information@hdfcbank.net,Tue,21,Mar,2023,14:45:02,Afternoon,0,Mar 2023
769,NPTEL ,onlinecourses@nptel.iitm.ac.in,Tue,21,Mar,2023,13:47:24,Afternoon,0,Mar 2023
770,Team Scaler ,academy@mailer.scaler.com,Tue,21,Mar,2023,23:14:49,Night,0,Mar 2023
771,upGrad ,info@updates.upgrad.com,Tue,21,Mar,2023,01:42:29,Night,0,Mar 2023
772,Amazon,no-reply@business.amazon.in,Tue,21,Mar,2023,08:58:29,Morning,0,Mar 2023
773,SBI,yonosbi@alerts.sbi.co.in,Tue,21,Mar,2023,08:05:11,Morning,0,Mar 2023
774,Coursera ,Coursera@email.coursera.org,Mon,20,Mar,2023,20:26:26,Evening,0,Mar 2023
775,Introduction to Data Analytics ,no-reply@t.mail.coursera.org,Mon,20,Mar,2023,05:57:06,Morning,0,Mar 2023
776,Coursera ,no-reply@t.mail.coursera.org,Mon,20,Mar,2023,05:57:06,Morning,0,Mar 2023
777,Coursera ,no-reply@t.mail.coursera.org,Mon,20,Mar,2023,05:56:55,Morning,0,Mar 2023
778,LinkedIn,updates-noreply@linkedin.com,Mon,20,Mar,2023,03:38:55,Night,1,Mar 2023
779,LinkedIn,messages-noreply@linkedin.com,Mon,20,Mar,2023,03:01:27,Night,1,Mar 2023
780,NPTEL ,onlinecourses@nptel.iitm.ac.in,Mon,20,Mar,2023,12:21:26,Afternoon,0,Mar 2023
781,LinkedIn,jobs-listings@linkedin.com,Mon,20,Mar,2023,08:00:27,Morning,0,Mar 2023
782,Agorize ,jubin@gradjago.com,Mon,20,Mar,2023,07:24:12,Morning,0,Mar 2023
783,upGrad ,info@updates.upgrad.com,Mon,20,Mar,2023,07:16:12,Morning,0,Mar 2023
784,trivago ,newsletter@email.trivago.com,Sun,19,Mar,2023,20:19:01,Evening,0,Mar 2023
785,Uber ,uber@uber.com,Mon,20,Mar,2023,05:16:03,Morning,0,Mar 2023
